produto,ano_safra,valor,grupo,variavel,unidade,produto_clean
Total,2024,94866630.0,Brasil,Área plantada (Hectares),Hectares,Total
"1 Cereais, leguminosas e oleaginosas",2024,79671988.0,Brasil,Área plantada (Hectares),Hectares,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2024,2027897.0,Brasil,Área plantada (Hectares),Hectares,Algodão herbáceo
1.2 Amendoim (1ª Safra),2024,273395.0,Brasil,Área plantada (Hectares),Hectares,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2024,8337.0,Brasil,Área plantada (Hectares),Hectares,Amendoim (2ª Safra)
1.4 Arroz,2024,1621895.0,Brasil,Área plantada (Hectares),Hectares,Arroz
1.5 Aveia,2024,519454.0,Brasil,Área plantada (Hectares),Hectares,Aveia
1.6 Centeio,2024,3925.0,Brasil,Área plantada (Hectares),Hectares,Centeio
1.7 Cevada,2024,117353.0,Brasil,Área plantada (Hectares),Hectares,Cevada
1.8 Feijão (1ª Safra),2024,1307774.0,Brasil,Área plantada (Hectares),Hectares,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2024,1215134.0,Brasil,Área plantada (Hectares),Hectares,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2024,298881.0,Brasil,Área plantada (Hectares),Hectares,Feijão (3ª Safra)
1.11 Girassol,2024,59278.0,Brasil,Área plantada (Hectares),Hectares,Girassol
1.12 Mamona,2024,52595.0,Brasil,Área plantada (Hectares),Hectares,Mamona
1.13 Milho (1ª Safra),2024,4784800.0,Brasil,Área plantada (Hectares),Hectares,Milho (1ª Safra)
1.14 Milho (2ª Safra),2024,16726471.0,Brasil,Área plantada (Hectares),Hectares,Milho (2ª Safra)
1.15 Soja,2024,46328794.0,Brasil,Área plantada (Hectares),Hectares,Soja
1.16 Sorgo,2024,1348646.0,Brasil,Área plantada (Hectares),Hectares,Sorgo
1.17 Trigo,2024,2959755.0,Brasil,Área plantada (Hectares),Hectares,Trigo
1.18 Triticale,2024,17604.0,Brasil,Área plantada (Hectares),Hectares,Triticale
4 Banana,2024,464631.0,Brasil,Área plantada (Hectares),Hectares,Banana
5 Batata - inglesa (1ª Safra),2024,58676.0,Brasil,Área plantada (Hectares),Hectares,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2024,46263.0,Brasil,Área plantada (Hectares),Hectares,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2024,33389.0,Brasil,Área plantada (Hectares),Hectares,Batata - inglesa (3ª Safra)
8 Cacau,2024,633699.0,Brasil,Área plantada (Hectares),Hectares,Cacau
9 Café arábica,2024,1552279.0,Brasil,Área plantada (Hectares),Hectares,Café arábica
10 Café canephora,2024,405793.0,Brasil,Área plantada (Hectares),Hectares,Café canephora
11 Cana-de-açúcar,2024,9265181.0,Brasil,Área plantada (Hectares),Hectares,Cana-de-açúcar
12 Castanha-de-caju,2024,451424.0,Brasil,Área plantada (Hectares),Hectares,Castanha-de-caju
15 Fumo,2024,330953.0,Brasil,Área plantada (Hectares),Hectares,Fumo
18 Laranja,2024,548365.0,Brasil,Área plantada (Hectares),Hectares,Laranja
21 Mandioca,2024,1258715.0,Brasil,Área plantada (Hectares),Hectares,Mandioca
24 Tomate,2024,62372.0,Brasil,Área plantada (Hectares),Hectares,Tomate
25 Uva,2024,82902.0,Brasil,Área plantada (Hectares),Hectares,Uva
Total,2025,96978946.0,Brasil,Área plantada (Hectares),Hectares,Total
"1 Cereais, leguminosas e oleaginosas",2025,81643003.0,Brasil,Área plantada (Hectares),Hectares,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2025,2142637.0,Brasil,Área plantada (Hectares),Hectares,Algodão herbáceo
1.2 Amendoim (1ª Safra),2025,324015.0,Brasil,Área plantada (Hectares),Hectares,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2025,15993.0,Brasil,Área plantada (Hectares),Hectares,Amendoim (2ª Safra)
1.4 Arroz,2025,1755325.0,Brasil,Área plantada (Hectares),Hectares,Arroz
1.5 Aveia,2025,573601.0,Brasil,Área plantada (Hectares),Hectares,Aveia
1.6 Centeio,2025,4835.0,Brasil,Área plantada (Hectares),Hectares,Centeio
1.7 Cevada,2025,133491.0,Brasil,Área plantada (Hectares),Hectares,Cevada
1.8 Feijão (1ª Safra),2025,1306611.0,Brasil,Área plantada (Hectares),Hectares,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2025,1089646.0,Brasil,Área plantada (Hectares),Hectares,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2025,293737.0,Brasil,Área plantada (Hectares),Hectares,Feijão (3ª Safra)
1.11 Girassol,2025,62797.0,Brasil,Área plantada (Hectares),Hectares,Girassol
1.12 Mamona,2025,53537.0,Brasil,Área plantada (Hectares),Hectares,Mamona
1.13 Milho (1ª Safra),2025,4656963.0,Brasil,Área plantada (Hectares),Hectares,Milho (1ª Safra)
1.14 Milho (2ª Safra),2025,17685687.0,Brasil,Área plantada (Hectares),Hectares,Milho (2ª Safra)
1.15 Soja,2025,47633313.0,Brasil,Área plantada (Hectares),Hectares,Soja
1.16 Sorgo,2025,1478505.0,Brasil,Área plantada (Hectares),Hectares,Sorgo
1.17 Trigo,2025,2418603.0,Brasil,Área plantada (Hectares),Hectares,Trigo
1.18 Triticale,2025,13707.0,Brasil,Área plantada (Hectares),Hectares,Triticale
4 Banana,2025,473017.0,Brasil,Área plantada (Hectares),Hectares,Banana
5 Batata - inglesa (1ª Safra),2025,60651.0,Brasil,Área plantada (Hectares),Hectares,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2025,44874.0,Brasil,Área plantada (Hectares),Hectares,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2025,26989.0,Brasil,Área plantada (Hectares),Hectares,Batata - inglesa (3ª Safra)
8 Cacau,2025,643908.0,Brasil,Área plantada (Hectares),Hectares,Cacau
9 Café arábica,2025,1542396.0,Brasil,Área plantada (Hectares),Hectares,Café arábica
10 Café canephora,2025,424581.0,Brasil,Área plantada (Hectares),Hectares,Café canephora
11 Cana-de-açúcar,2025,9323767.0,Brasil,Área plantada (Hectares),Hectares,Cana-de-açúcar
12 Castanha-de-caju,2025,452879.0,Brasil,Área plantada (Hectares),Hectares,Castanha-de-caju
15 Fumo,2025,359081.0,Brasil,Área plantada (Hectares),Hectares,Fumo
18 Laranja,2025,538489.0,Brasil,Área plantada (Hectares),Hectares,Laranja
21 Mandioca,2025,1298732.0,Brasil,Área plantada (Hectares),Hectares,Mandioca
24 Tomate,2025,62505.0,Brasil,Área plantada (Hectares),Hectares,Tomate
25 Uva,2025,84074.0,Brasil,Área plantada (Hectares),Hectares,Uva
Total,2024,94135419.0,Brasil,Área colhida (Hectares),Hectares,Total
"1 Cereais, leguminosas e oleaginosas",2024,79049440.0,Brasil,Área colhida (Hectares),Hectares,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2024,2027769.0,Brasil,Área colhida (Hectares),Hectares,Algodão herbáceo
1.2 Amendoim (1ª Safra),2024,269219.0,Brasil,Área colhida (Hectares),Hectares,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2024,8337.0,Brasil,Área colhida (Hectares),Hectares,Amendoim (2ª Safra)
1.4 Arroz,2024,1573503.0,Brasil,Área colhida (Hectares),Hectares,Arroz
1.5 Aveia,2024,513979.0,Brasil,Área colhida (Hectares),Hectares,Aveia
1.6 Centeio,2024,3925.0,Brasil,Área colhida (Hectares),Hectares,Centeio
1.7 Cevada,2024,117353.0,Brasil,Área colhida (Hectares),Hectares,Cevada
1.8 Feijão (1ª Safra),2024,1250982.0,Brasil,Área colhida (Hectares),Hectares,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2024,1193804.0,Brasil,Área colhida (Hectares),Hectares,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2024,287873.0,Brasil,Área colhida (Hectares),Hectares,Feijão (3ª Safra)
1.11 Girassol,2024,59083.0,Brasil,Área colhida (Hectares),Hectares,Girassol
1.12 Mamona,2024,52565.0,Brasil,Área colhida (Hectares),Hectares,Mamona
1.13 Milho (1ª Safra),2024,4676634.0,Brasil,Área colhida (Hectares),Hectares,Milho (1ª Safra)
1.14 Milho (2ª Safra),2024,16674590.0,Brasil,Área colhida (Hectares),Hectares,Milho (2ª Safra)
1.15 Soja,2024,46036036.0,Brasil,Área colhida (Hectares),Hectares,Soja
1.16 Sorgo,2024,1330201.0,Brasil,Área colhida (Hectares),Hectares,Sorgo
1.17 Trigo,2024,2956080.0,Brasil,Área colhida (Hectares),Hectares,Trigo
1.18 Triticale,2024,17507.0,Brasil,Área colhida (Hectares),Hectares,Triticale
4 Banana,2024,461153.0,Brasil,Área colhida (Hectares),Hectares,Banana
5 Batata - inglesa (1ª Safra),2024,58655.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2024,46186.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2024,33389.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (3ª Safra)
8 Cacau,2024,632466.0,Brasil,Área colhida (Hectares),Hectares,Cacau
9 Café arábica,2024,1549490.0,Brasil,Área colhida (Hectares),Hectares,Café arábica
10 Café canephora,2024,405646.0,Brasil,Área colhida (Hectares),Hectares,Café canephora
11 Cana-de-açúcar,2024,9219524.0,Brasil,Área colhida (Hectares),Hectares,Cana-de-açúcar
12 Castanha-de-caju,2024,450054.0,Brasil,Área colhida (Hectares),Hectares,Castanha-de-caju
15 Fumo,2024,329677.0,Brasil,Área colhida (Hectares),Hectares,Fumo
18 Laranja,2024,524086.0,Brasil,Área colhida (Hectares),Hectares,Laranja
21 Mandioca,2024,1231516.0,Brasil,Área colhida (Hectares),Hectares,Mandioca
24 Tomate,2024,61686.0,Brasil,Área colhida (Hectares),Hectares,Tomate
25 Uva,2024,82451.0,Brasil,Área colhida (Hectares),Hectares,Uva
Total,2025,96402165.0,Brasil,Área colhida (Hectares),Hectares,Total
"1 Cereais, leguminosas e oleaginosas",2025,81215186.0,Brasil,Área colhida (Hectares),Hectares,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2025,2142191.0,Brasil,Área colhida (Hectares),Hectares,Algodão herbáceo
1.2 Amendoim (1ª Safra),2025,323537.0,Brasil,Área colhida (Hectares),Hectares,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2025,15993.0,Brasil,Área colhida (Hectares),Hectares,Amendoim (2ª Safra)
1.4 Arroz,2025,1752531.0,Brasil,Área colhida (Hectares),Hectares,Arroz
1.5 Aveia,2025,570095.0,Brasil,Área colhida (Hectares),Hectares,Aveia
1.6 Centeio,2025,4835.0,Brasil,Área colhida (Hectares),Hectares,Centeio
1.7 Cevada,2025,133491.0,Brasil,Área colhida (Hectares),Hectares,Cevada
1.8 Feijão (1ª Safra),2025,1192957.0,Brasil,Área colhida (Hectares),Hectares,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2025,1080173.0,Brasil,Área colhida (Hectares),Hectares,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2025,293737.0,Brasil,Área colhida (Hectares),Hectares,Feijão (3ª Safra)
1.11 Girassol,2025,62797.0,Brasil,Área colhida (Hectares),Hectares,Girassol
1.12 Mamona,2025,53537.0,Brasil,Área colhida (Hectares),Hectares,Mamona
1.13 Milho (1ª Safra),2025,4446922.0,Brasil,Área colhida (Hectares),Hectares,Milho (1ª Safra)
1.14 Milho (2ª Safra),2025,17661570.0,Brasil,Área colhida (Hectares),Hectares,Milho (2ª Safra)
1.15 Soja,2025,47573015.0,Brasil,Área colhida (Hectares),Hectares,Soja
1.16 Sorgo,2025,1475805.0,Brasil,Área colhida (Hectares),Hectares,Sorgo
1.17 Trigo,2025,2418293.0,Brasil,Área colhida (Hectares),Hectares,Trigo
1.18 Triticale,2025,13707.0,Brasil,Área colhida (Hectares),Hectares,Triticale
4 Banana,2025,465584.0,Brasil,Área colhida (Hectares),Hectares,Banana
5 Batata - inglesa (1ª Safra),2025,60646.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2025,44874.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2025,26989.0,Brasil,Área colhida (Hectares),Hectares,Batata - inglesa (3ª Safra)
8 Cacau,2025,643895.0,Brasil,Área colhida (Hectares),Hectares,Cacau
9 Café arábica,2025,1537918.0,Brasil,Área colhida (Hectares),Hectares,Café arábica
10 Café canephora,2025,424377.0,Brasil,Área colhida (Hectares),Hectares,Café canephora
11 Cana-de-açúcar,2025,9241643.0,Brasil,Área colhida (Hectares),Hectares,Cana-de-açúcar
12 Castanha-de-caju,2025,449882.0,Brasil,Área colhida (Hectares),Hectares,Castanha-de-caju
15 Fumo,2025,357384.0,Brasil,Área colhida (Hectares),Hectares,Fumo
18 Laranja,2025,527555.0,Brasil,Área colhida (Hectares),Hectares,Laranja
21 Mandioca,2025,1260582.0,Brasil,Área colhida (Hectares),Hectares,Mandioca
24 Tomate,2025,62317.0,Brasil,Área colhida (Hectares),Hectares,Tomate
25 Uva,2025,83333.0,Brasil,Área colhida (Hectares),Hectares,Uva
"1 Cereais, leguminosas e oleaginosas",2024,292705861.0,Brasil,Produção (Toneladas),Toneladas,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2024,8866378.0,Brasil,Produção (Toneladas),Toneladas,Algodão herbáceo
1.2 Amendoim (1ª Safra),2024,780032.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2024,13800.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (2ª Safra)
1.4 Arroz,2024,10591604.0,Brasil,Produção (Toneladas),Toneladas,Arroz
1.5 Aveia,2024,1059343.0,Brasil,Produção (Toneladas),Toneladas,Aveia
1.6 Centeio,2024,5881.0,Brasil,Produção (Toneladas),Toneladas,Centeio
1.7 Cevada,2024,416239.0,Brasil,Produção (Toneladas),Toneladas,Cevada
1.8 Feijão (1ª Safra),2024,894234.0,Brasil,Produção (Toneladas),Toneladas,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2024,1395083.0,Brasil,Produção (Toneladas),Toneladas,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2024,809844.0,Brasil,Produção (Toneladas),Toneladas,Feijão (3ª Safra)
1.11 Girassol,2024,90258.0,Brasil,Produção (Toneladas),Toneladas,Girassol
1.12 Mamona,2024,31717.0,Brasil,Produção (Toneladas),Toneladas,Mamona
1.13 Milho (1ª Safra),2024,22912466.0,Brasil,Produção (Toneladas),Toneladas,Milho (1ª Safra)
1.14 Milho (2ª Safra),2024,91790726.0,Brasil,Produção (Toneladas),Toneladas,Milho (2ª Safra)
1.15 Soja,2024,144946662.0,Brasil,Produção (Toneladas),Toneladas,Soja
1.16 Sorgo,2024,3985503.0,Brasil,Produção (Toneladas),Toneladas,Sorgo
1.17 Trigo,2024,7530249.0,Brasil,Produção (Toneladas),Toneladas,Trigo
1.18 Triticale,2024,43729.0,Brasil,Produção (Toneladas),Toneladas,Triticale
4 Banana,2024,6995034.0,Brasil,Produção (Toneladas),Toneladas,Banana
5 Batata - inglesa (1ª Safra),2024,1745460.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2024,1527003.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2024,1235346.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (3ª Safra)
8 Cacau,2024,287784.0,Brasil,Produção (Toneladas),Toneladas,Cacau
9 Café arábica,2024,2401279.0,Brasil,Produção (Toneladas),Toneladas,Café arábica
10 Café canephora,2024,1024120.0,Brasil,Produção (Toneladas),Toneladas,Café canephora
11 Cana-de-açúcar,2024,706720425.0,Brasil,Produção (Toneladas),Toneladas,Cana-de-açúcar
12 Castanha-de-caju,2024,161014.0,Brasil,Produção (Toneladas),Toneladas,Castanha-de-caju
15 Fumo,2024,626649.0,Brasil,Produção (Toneladas),Toneladas,Fumo
18 Laranja,2024,12216934.0,Brasil,Produção (Toneladas),Toneladas,Laranja
21 Mandioca,2024,19059194.0,Brasil,Produção (Toneladas),Toneladas,Mandioca
24 Tomate,2024,4666924.0,Brasil,Produção (Toneladas),Toneladas,Tomate
25 Uva,2024,1763397.0,Brasil,Produção (Toneladas),Toneladas,Uva
"1 Cereais, leguminosas e oleaginosas",2025,340451981.0,Brasil,Produção (Toneladas),Toneladas,"Cereais, leguminosas e oleaginosas"
1.1 Algodão herbáceo,2025,9493294.0,Brasil,Produção (Toneladas),Toneladas,Algodão herbáceo
1.2 Amendoim (1ª Safra),2025,1196288.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (1ª Safra)
1.3 Amendoim (2ª Safra),2025,39739.0,Brasil,Produção (Toneladas),Toneladas,Amendoim (2ª Safra)
1.4 Arroz,2025,12467535.0,Brasil,Produção (Toneladas),Toneladas,Arroz
1.5 Aveia,2025,1348559.0,Brasil,Produção (Toneladas),Toneladas,Aveia
1.6 Centeio,2025,8216.0,Brasil,Produção (Toneladas),Toneladas,Centeio
1.7 Cevada,2025,549267.0,Brasil,Produção (Toneladas),Toneladas,Cevada
1.8 Feijão (1ª Safra),2025,1066966.0,Brasil,Produção (Toneladas),Toneladas,Feijão (1ª Safra)
1.9 Feijão (2ª Safra),2025,1251779.0,Brasil,Produção (Toneladas),Toneladas,Feijão (2ª Safra)
1.10 Feijão (3ª Safra),2025,793413.0,Brasil,Produção (Toneladas),Toneladas,Feijão (3ª Safra)
1.11 Girassol,2025,119728.0,Brasil,Produção (Toneladas),Toneladas,Girassol
1.12 Mamona,2025,33621.0,Brasil,Produção (Toneladas),Toneladas,Mamona
1.13 Milho (1ª Safra),2025,26150105.0,Brasil,Produção (Toneladas),Toneladas,Milho (1ª Safra)
1.14 Milho (2ª Safra),2025,111430928.0,Brasil,Produção (Toneladas),Toneladas,Milho (2ª Safra)
1.15 Soja,2025,165536108.0,Brasil,Produção (Toneladas),Toneladas,Soja
1.16 Sorgo,2025,4927680.0,Brasil,Produção (Toneladas),Toneladas,Sorgo
1.17 Trigo,2025,7700024.0,Brasil,Produção (Toneladas),Toneladas,Trigo
1.18 Triticale,2025,41116.0,Brasil,Produção (Toneladas),Toneladas,Triticale
4 Banana,2025,7226544.0,Brasil,Produção (Toneladas),Toneladas,Banana
5 Batata - inglesa (1ª Safra),2025,1969879.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (1ª Safra)
6 Batata - inglesa (2ª Safra),2025,1501684.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (2ª Safra)
7 Batata - inglesa (3ª Safra),2025,1029756.0,Brasil,Produção (Toneladas),Toneladas,Batata - inglesa (3ª Safra)
8 Cacau,2025,293482.0,Brasil,Produção (Toneladas),Toneladas,Cacau
9 Café arábica,2025,2253938.0,Brasil,Produção (Toneladas),Toneladas,Café arábica
10 Café canephora,2025,1199913.0,Brasil,Produção (Toneladas),Toneladas,Café canephora
11 Cana-de-açúcar,2025,695085205.0,Brasil,Produção (Toneladas),Toneladas,Cana-de-açúcar
12 Castanha-de-caju,2025,146747.0,Brasil,Produção (Toneladas),Toneladas,Castanha-de-caju
15 Fumo,2025,790182.0,Brasil,Produção (Toneladas),Toneladas,Fumo
18 Laranja,2025,12832137.0,Brasil,Produção (Toneladas),Toneladas,Laranja
21 Mandioca,2025,20237736.0,Brasil,Produção (Toneladas),Toneladas,Mandioca
24 Tomate,2025,4471918.0,Brasil,Produção (Toneladas),Toneladas,Tomate
25 Uva,2025,2099459.0,Brasil,Produção (Toneladas),Toneladas,Uva
